num_points,true_distance,epsilon,sample_size,Method1_avg_time,Method2_avg_time,Method1_accuracy,Method2_accuracy
10000,0.0722,0.2,10,0.00054798,0.00069102,29,93
10000,0.0722,0.15,14,0.00056359,0.00068104,52,94
10000,0.0722,0.1,20,0.0005881,0.00066206,68,98
10000,0.0722,0.05,41,0.00073241,0.000759470000000001,92,100
10000,0.0904,0.5,4,0.00051477,0.00069227,6,84
10000,0.0904,0.45,5,0.00050898,0.00068865,7,92
10000,0.0904,0.4,5,0.00051737,0.00069503,14,91
10000,0.0904,0.35,6,0.00051497,0.00069433,20,92
10000,0.0904,0.3,7,0.00052593,0.00074142,27,94
10000,0.0904,0.25,8,0.00053399,0.00069648,36,96
10000,0.0904,0.2,10,0.00056033,0.00068754,46,98
10000,0.0904,0.15,14,0.00056955,0.00066413,62,99
10000,0.0904,0.1,20,0.00058765,0.00066119,84,99
10000,0.0904,0.05,41,0.00072605,0.00072448,98,100
10000,0.0924,0.5,4,0.00051347,0.00069673,6,80
10000,0.0924,0.45,5,0.00051673,0.00074365,6,87
10000,0.0924,0.4,5,0.00050887,0.00073423,10,91
10000,0.0924,0.35,6,0.00053353,0.00076214,15,90
10000,0.0924,0.3,7,0.00052082,0.00078982,20,95
10000,0.0924,0.25,8,0.00058244,0.00070846,31,97
10000,0.0924,0.2,10,0.00056267,0.00069396,41,99
10000,0.0924,0.15,14,0.00056572,0.0006416,54,99
10000,0.0924,0.1,20,0.000583,0.00066423,77,100
10000,0.0924,0.05,41,0.00072614,0.000730409999999999,94,100
10000,0.1017,0.5,4,0.00050926,0.00069774,3,74
10000,0.1017,0.45,5,0.00052524,0.0007138,15,79
10000,0.1017,0.4,5,0.00051449,0.00070355,12,71
10000,0.1017,0.35,6,0.0005095,0.00068542,19,78
10000,0.1017,0.3,7,0.00051572,0.00068095,19,86
10000,0.1017,0.25,8,0.00053465,0.00066704,28,86
10000,0.1017,0.2,10,0.0005365,0.0006492,42,94
10000,0.1017,0.15,14,0.0005457,0.00065133,63,98
10000,0.1017,0.1,20,0.00057264,0.00064944,84,99
10000,0.1017,0.05,41,0.00072017,0.00073246,96,100
10000,0.1095,0.5,4,0.000511,0.00069845,5,62
10000,0.1095,0.45,5,0.0005036,0.00069302,9,70
10000,0.1095,0.4,5,0.00051335,0.00070127,8,75
10000,0.1095,0.35,6,0.00051389,0.00069393,14,78
10000,0.1095,0.3,7,0.00051031,0.00071389,21,82
10000,0.1095,0.25,8,0.00054156,0.00068713,19,85
10000,0.1095,0.2,10,0.00053107,0.0006874,41,90
10000,0.1095,0.15,14,0.00054616,0.00063921,62,96
10000,0.1095,0.1,20,0.00057801,0.00061407,79,99
10000,0.1095,0.05,41,0.00071582,0.00072166,97,100
10000,0.128,0.5,4,0.00050948,0.00069755,2,88
10000,0.128,0.45,5,0.00050591,0.00068596,15,99
10000,0.128,0.4,5,0.0005043,0.00068693,9,91
10000,0.128,0.35,6,0.00052044,0.00068118,20,92
10000,0.128,0.3,7,0.00052606,0.00066932,23,97
10000,0.128,0.25,8,0.00053168,0.00066967,39,97
10000,0.128,0.2,10,0.00053581,0.00068007,53,97
10000,0.128,0.15,14,0.00055215,0.00061578,73,100
10000,0.128,0.1,20,0.00058199,0.00061617,88,100
10000,0.128,0.05,41,0.00071802,0.0007121,99,100
10000,0.1429,0.5,4,0.00050721,0.00069441,11,85
10000,0.1429,0.45,5,0.00051148,0.00069331,22,90
10000,0.1429,0.4,5,0.00050785,0.00068264,18,92
10000,0.1429,0.35,6,0.00052538,0.00067314,26,94
10000,0.1429,0.3,7,0.00052804,0.00066043,38,97
10000,0.1429,0.25,8,0.00055901,0.00070575,42,95
10000,0.1429,0.2,10,0.0005352,0.00063336,61,99
10000,0.1429,0.15,14,0.00055173,0.00063834,74,100
10000,0.1429,0.1,20,0.00057984,0.00060097,94,100
10000,0.1429,0.05,41,0.0007292,0.00070238,100,100
10000,0.161,0.5,4,0.00050903,0.00069866,4,72
10000,0.161,0.45,5,0.00050475,0.00071036,14,80
10000,0.161,0.4,5,0.00051584,0.0006925,12,79
10000,0.161,0.35,6,0.00054584,0.00069843,23,84
10000,0.161,0.3,7,0.00055143,0.00070419,33,87
10000,0.161,0.25,8,0.00055258,0.00069585,42,92
