dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
20,20000,0.95,0.15,91,14.721587,0.00689833,2134.07984251261
20,20000,0.95,0.1,100,14.721587,0.02099805,701.093053878813
20,20000,0.95,0.05,100,14.721587,0.56077869,26.2520442779308
20,20000,1,0.5,0,106.60111,0.00094904,112325.202309702
20,20000,1,0.45,0,106.60111,0.00104027,102474.463360474
20,20000,1,0.4,0,106.60111,0.00113695,93760.5963322925
20,20000,1,0.35,0,106.60111,0.00131896,80822.0946806575
20,20000,1,0.3,0,106.60111,0.00158283,67348.4265524409
20,20000,1,0.25,0,106.60111,0.00200202,53246.775756486
20,20000,1,0.2,0,106.60111,0.00289401,36835.0869554701
20,20000,1,0.15,0,106.60111,0.00519137,20534.2924892658
20,20000,1,0.1,0,106.60111,0.01382841,7708.84794419604
20,20000,1,0.05,0,106.60111,0.10444636,1020.63020673961
50,5000,0.6,0.5,45,4.225663,0.00554447,762.140114384242
50,5000,0.6,0.45,86,4.225663,0.00717383,589.038630689604
50,5000,0.6,0.4,94,4.225663,0.00890862,474.334184194634
50,5000,0.6,0.35,100,4.225663,0.01122946,376.301531863509
50,5000,0.6,0.3,100,4.225663,0.01584593,266.671820461153
50,5000,0.6,0.25,100,4.225663,0.02474914,170.739791362447
50,5000,0.6,0.2,100,4.225663,0.07445473,56.7547958336562
50,5000,0.6,0.15,100,4.225663,0.4007869,10.543415964943
50,5000,0.6,0.1,100,4.225663,0.0525161,80.4641433769834
50,5000,0.6,0.05,100,4.225663,0.13304436,31.7613087845287
50,5000,0.7,0.5,24,4.427871,0.00524199,844.692759810682
50,5000,0.7,0.45,51,4.427871,0.0071879,616.017334687461
50,5000,0.7,0.4,89,4.427871,0.00939326,471.388101681418
50,5000,0.7,0.35,99,4.427871,0.01143953,387.067563090442
50,5000,0.7,0.3,100,4.427871,0.01695111,261.214221369574
50,5000,0.7,0.25,100,4.427871,0.02619863,169.011547550387
50,5000,0.7,0.2,100,4.427871,0.06380519,69.3967214892707
50,5000,0.7,0.15,100,4.427871,0.46784181,9.46446192998441
50,5000,0.7,0.1,100,4.427871,0.05610684,78.9185596622444
50,5000,0.7,0.05,100,4.427871,0.13414158,33.0089372735881
50,5000,0.8,0.5,4,4.608591,0.0046051,1000.75807257171
50,5000,0.8,0.45,20,4.608591,0.00648898,710.218092828149
50,5000,0.8,0.4,59,4.608591,0.00899008000000001,512.630699615576
50,5000,0.8,0.35,90,4.608591,0.01164942,395.606905751531
50,5000,0.8,0.3,100,4.608591,0.01669243,276.088682115186
50,5000,0.8,0.25,100,4.608591,0.02561123,179.944149500043
50,5000,0.8,0.2,100,4.608591,0.07037847,65.4829665947555
50,5000,0.8,0.15,100,4.608591,0.38363994,12.0128029422588
50,5000,0.8,0.1,100,4.608591,0.05783628,79.6833925003475
50,5000,0.8,0.05,100,4.608591,0.14160888,32.5445056835419
50,5000,0.9,0.5,0,4.610489,0.00400526,1151.10854226692
50,5000,0.9,0.45,1,4.610489,0.00501722,918.932994766026
50,5000,0.9,0.4,5,4.610489,0.00707687,651.487027457054
50,5000,0.9,0.35,26,4.610489,0.01096915,420.314153785845
50,5000,0.9,0.3,75,4.610489,0.01806446,255.224291232619
50,5000,0.9,0.25,96,4.610489,0.02779813,165.856084563962
50,5000,0.9,0.2,100,4.610489,0.05789556,79.6345868318745
50,5000,0.9,0.15,100,4.610489,0.23315972,19.7739515213005
50,5000,0.9,0.1,100,4.610489,0.05459139,84.4545083024997
50,5000,0.9,0.05,100,4.610489,0.14786299,31.1808181344094
50,5000,0.95,0.5,0,4.752355,0.0038321,1240.14378539182
50,5000,0.95,0.45,0,4.752355,0.00476414,997.526311149547
50,5000,0.95,0.4,1,4.752355,0.00627424,757.439148008364
50,5000,0.95,0.35,6,4.752355,0.0093811,506.588246580891
50,5000,0.95,0.3,23,4.752355,0.01526481,311.327491138114
50,5000,0.95,0.25,66,4.752355,0.06141759,77.377751227295
50,5000,0.95,0.2,91,4.752355,0.13103836,36.2668992499601
50,5000,0.95,0.15,100,4.752355,0.32016496,14.8434575726213
50,5000,0.95,0.1,100,4.752355,0.0568881,83.5386486804798
50,5000,0.95,0.05,100,4.752355,0.14640829,32.459603209627
