dimension,num_points,delta,epsilon,accuracy_pct,LS_time_sec,avg_sample_time_sec,coefficient
500,30000,0.6,0.45,99,2257.641866,2.59687724,869.367959033751
500,30000,0.6,0.4,100,2257.641866,2.66425433,847.38226398979
500,30000,0.6,0.35,100,2257.641866,2.94103965,767.633944003441
500,30000,0.6,0.3,100,2257.641866,3.13581105,719.954687958638
500,30000,0.6,0.25,100,2257.641866,3.57930655,630.748396222168
500,30000,0.6,0.2,100,2257.641866,4.3440781,519.705634666191
500,30000,0.6,0.15,100,2257.641866,5.62269464,401.523114902786
500,30000,0.6,0.1,100,2257.641866,8.08723258,279.161238862256
500,30000,0.6,0.05,100,2257.641866,67.31430947,33.5388104516791
500,30000,0.7,0.5,0,2204.2201,1.55664939,1416.00293178414
500,30000,0.7,0.45,81,2204.2201,2.77059024,795.577804388714
500,30000,0.7,0.4,100,2204.2201,2.79437923,788.804925378722
500,30000,0.7,0.35,100,2204.2201,3.04530562,723.809159095172
500,30000,0.7,0.3,100,2204.2201,3.27809615,672.408617422646
500,30000,0.7,0.25,100,2204.2201,3.64060004,605.455165572102
500,30000,0.7,0.2,100,2204.2201,4.43851895,496.611623118112
500,30000,0.7,0.15,100,2204.2201,5.4996701,400.791331101842
500,30000,0.7,0.1,100,2204.2201,7.90335305,278.896828479654
500,30000,0.7,0.05,100,2204.2201,68.49231059,32.1820081847526
500,30000,0.8,0.5,0,2308.480139,1.17385056,1966.58775628134
500,30000,0.8,0.45,2,2308.480139,1.80831715,1276.59030331046
500,30000,0.8,0.4,83,2308.480139,3.11446751,741.211822434455
500,30000,0.8,0.35,100,2308.480139,3.23658123,713.246470566722
500,30000,0.8,0.3,100,2308.480139,3.51126831,657.449085399002
500,30000,0.8,0.25,100,2308.480139,3.91819588,589.169150726583
500,30000,0.8,0.2,100,2308.480139,4.54316582,508.121479704212
500,30000,0.8,0.15,100,2308.480139,5.64268103,409.110514439268
500,30000,0.8,0.1,100,2308.480139,8.28026279,278.793100840704
500,30000,0.8,0.05,100,2308.480139,71.79669397,32.1530144544621
500,30000,0.9,0.5,0,2494.73349,0.98832539,2524.20257057243
500,30000,0.9,0.45,0,2494.73349,1.1687533,2134.52530144728
500,30000,0.9,0.4,0,2494.73349,1.52555202,1635.29886709468
500,30000,0.9,0.35,19,2494.73349,2.97860045,837.552243705597
500,30000,0.9,0.3,100,2494.73349,3.83533932,650.459654766609
500,30000,0.9,0.25,100,2494.73349,4.24093534,588.250772528873
500,30000,0.9,0.2,100,2494.73349,4.96940253,502.018799028542
