filename,sep_degree,epsilon,sample_size,correct_guesses
1000_0.443000_3495.csv,0.443,0.21,15,96
1000_0.443000_3495.csv,0.443,0.26,12,91
1000_0.443000_3495.csv,0.443,0.31,10,78
1000_0.443000_3495.csv,0.443,0.36,9,68
1000_0.443000_3495.csv,0.443,0.41,8,56
1000_0.443000_3495.csv,0.443,0.46,7,32
1000_0.444000_2784.csv,0.444,0.01,300,100
1000_0.444000_2784.csv,0.444,0.06,50,100
1000_0.444000_2784.csv,0.444,0.11,28,100
1000_0.444000_2784.csv,0.444,0.16,19,100
1000_0.444000_2784.csv,0.444,0.21,15,100
1000_0.444000_2784.csv,0.444,0.26,12,92
1000_0.444000_2784.csv,0.444,0.31,10,76
1000_0.444000_2784.csv,0.444,0.36,9,61
1000_0.444000_2784.csv,0.444,0.41,8,43
1000_0.444000_2784.csv,0.444,0.46,7,33
1500_0.000000_5566.csv,0,0.01,300,100
1500_0.000000_5566.csv,0,0.06,50,100
1500_0.000000_5566.csv,0,0.11,28,100
1500_0.000000_5566.csv,0,0.16,19,100
1500_0.000000_5566.csv,0,0.21,15,100
1500_0.000000_5566.csv,0,0.26,12,100
1500_0.000000_5566.csv,0,0.31,10,100
1500_0.000000_5566.csv,0,0.36,9,100
1500_0.000000_5566.csv,0,0.41,8,100
1500_0.000000_5566.csv,0,0.46,7,100
1500_0.000667_4611.csv,0.000667,0.01,300,0
1500_0.000667_4611.csv,0.000667,0.06,50,0
1500_0.000667_4611.csv,0.000667,0.11,28,0
1500_0.000667_4611.csv,0.000667,0.16,19,0
1500_0.000667_4611.csv,0.000667,0.21,15,0
1500_0.000667_4611.csv,0.000667,0.26,12,0
1500_0.000667_4611.csv,0.000667,0.31,10,0
1500_0.000667_4611.csv,0.000667,0.36,9,0
1500_0.000667_4611.csv,0.000667,0.41,8,0
1500_0.000667_4611.csv,0.000667,0.46,7,0
1500_0.002000_4478.csv,0.002,0.01,300,12
1500_0.002000_4478.csv,0.002,0.06,50,0
1500_0.002000_4478.csv,0.002,0.11,28,0
1500_0.002000_4478.csv,0.002,0.16,19,0
1500_0.002000_4478.csv,0.002,0.21,15,0
1500_0.002000_4478.csv,0.002,0.26,12,0
1500_0.002000_4478.csv,0.002,0.31,10,0
1500_0.002000_4478.csv,0.002,0.36,9,0
1500_0.002000_4478.csv,0.002,0.41,8,0
1500_0.002000_4478.csv,0.002,0.46,7,0
1500_0.016667_2928.csv,0.016667,0.01,300,96
1500_0.016667_2928.csv,0.016667,0.06,50,11
1500_0.016667_2928.csv,0.016667,0.11,28,2
1500_0.016667_2928.csv,0.016667,0.16,19,0
1500_0.016667_2928.csv,0.016667,0.21,15,0
1500_0.016667_2928.csv,0.016667,0.26,12,0
1500_0.016667_2928.csv,0.016667,0.31,10,0
1500_0.016667_2928.csv,0.016667,0.36,9,0
1500_0.016667_2928.csv,0.016667,0.41,8,0
1500_0.016667_2928.csv,0.016667,0.46,7,0
1500_0.092667_9516.csv,0.092667,0.01,300,100
1500_0.092667_9516.csv,0.092667,0.06,50,92
1500_0.092667_9516.csv,0.092667,0.11,28,53
1500_0.092667_9516.csv,0.092667,0.16,19,36
1500_0.092667_9516.csv,0.092667,0.21,15,22
1500_0.092667_9516.csv,0.092667,0.26,12,15
1500_0.092667_9516.csv,0.092667,0.31,10,9
1500_0.092667_9516.csv,0.092667,0.36,9,9
1500_0.092667_9516.csv,0.092667,0.41,8,3
1500_0.092667_9516.csv,0.092667,0.46,7,1
1500_0.094000_9785.csv,0.094,0.01,300,100
1500_0.094000_9785.csv,0.094,0.06,50,92
1500_0.094000_9785.csv,0.094,0.11,28,70
1500_0.094000_9785.csv,0.094,0.16,19,42
1500_0.094000_9785.csv,0.094,0.21,15,23
1500_0.094000_9785.csv,0.094,0.26,12,12
1500_0.094000_9785.csv,0.094,0.31,10,7
1500_0.094000_9785.csv,0.094,0.36,9,7
1500_0.094000_9785.csv,0.094,0.41,8,5
1500_0.094000_9785.csv,0.094,0.46,7,3
1500_0.099333_2414.csv,0.099333,0.01,300,100
1500_0.099333_2414.csv,0.099333,0.06,50,94
1500_0.099333_2414.csv,0.099333,0.11,28,68
1500_0.099333_2414.csv,0.099333,0.16,19,42
1500_0.099333_2414.csv,0.099333,0.21,15,24
1500_0.099333_2414.csv,0.099333,0.26,12,19
1500_0.099333_2414.csv,0.099333,0.31,10,16
1500_0.099333_2414.csv,0.099333,0.36,9,6
1500_0.099333_2414.csv,0.099333,0.41,8,5
1500_0.099333_2414.csv,0.099333,0.46,7,4
1500_0.141333_2391.csv,0.141333,0.01,300,100
1500_0.141333_2391.csv,0.141333,0.06,50,100
1500_0.141333_2391.csv,0.141333,0.11,28,86
1500_0.141333_2391.csv,0.141333,0.16,19,57
1500_0.141333_2391.csv,0.141333,0.21,15,38
1500_0.141333_2391.csv,0.141333,0.26,12,24
1500_0.141333_2391.csv,0.141333,0.31,10,16
1500_0.141333_2391.csv,0.141333,0.36,9,9
1500_0.141333_2391.csv,0.141333,0.41,8,10
1500_0.141333_2391.csv,0.141333,0.46,7,6
1500_0.166000_8104.csv,0.166,0.01,300,100
1500_0.166000_8104.csv,0.166,0.06,50,99
1500_0.166000_8104.csv,0.166,0.11,28,95
1500_0.166000_8104.csv,0.166,0.16,19,73
1500_0.166000_8104.csv,0.166,0.21,15,60
1500_0.166000_8104.csv,0.166,0.26,12,48
1500_0.166000_8104.csv,0.166,0.31,10,35
1500_0.166000_8104.csv,0.166,0.36,9,33
1500_0.166000_8104.csv,0.166,0.41,8,15
1500_0.166000_8104.csv,0.166,0.46,7,9
1500_0.204667_4680.csv,0.204667,0.01,300,100
1500_0.204667_4680.csv,0.204667,0.06,50,100
1500_0.204667_4680.csv,0.204667,0.11,28,97
1500_0.204667_4680.csv,0.204667,0.16,19,81
1500_0.204667_4680.csv,0.204667,0.21,15,78
1500_0.204667_4680.csv,0.204667,0.26,12,54
1500_0.204667_4680.csv,0.204667,0.31,10,36
1500_0.204667_4680.csv,0.204667,0.36,9,29
1500_0.204667_4680.csv,0.204667,0.41,8,19
1500_0.204667_4680.csv,0.204667,0.46,7,19
1500_0.248000_2477.csv,0.248,0.01,300,100
1500_0.248000_2477.csv,0.248,0.06,50,100
